low_24h,ath,id,price_change_24h,ath_change_percentage,image,price_change_percentage_24h,ath_date,current_price,market_cap_rank,market_cap_change_24h,atl,coin_id,market_cap_change_percentage_24h,atl_change_percentage,fully_diluted_valuation,circulating_supply,atl_date,symbol,total_volume,total_supply,last_updated,max_supply,name,market_cap,high_24h,timestamp
106709.0,111814.0,201,-389.6481948222063,-3.95866,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,-0.36159,2025-05-22T18:41:28.492Z,107371.0,1,-7173282673.952148,67.81,bitcoin,-0.33481,158268.09044,2135348881576.0,19884043.0,2013-07-06T00:00:00.000Z,btc,22664607752.0,19884043.0,2025-06-27T06:26:01.184Z,21000000.0,Bitcoin,2135348881576.0,108066.0,1751005561
2402.46,4878.26,202,-35.79392476845078,-49.87181,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,-1.44225,2021-11-10T14:24:19.604Z,2446.01,2,-4319124408.799866,0.432979,ethereum,-1.4419,564681.27979,295223944487.0,120718041.2148791,2015-10-20T00:00:00.000Z,eth,14408358351.0,120718041.2148791,2025-06-27T06:26:00.944Z,,Ethereum,295223944487.0,2498.08,1751005560
1.0,1.32,203,-5.2787691797507e-05,-24.38986,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,-0.00528,2018-07-24T00:00:00.000Z,1.0,3,787007390.0,0.572521,tether,0.50206,74.73494,157543177092.0,157480181404.6579,2015-03-02T00:00:00.000Z,usdt,41843018286.0,157480181404.6579,2025-06-27T06:25:56.940Z,,Tether,157543177092.0,1.0,1751005556
2.09,3.4,204,-0.09683104745442561,-38.44218,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,-4.42483,2018-01-07T00:00:00.000Z,2.09,4,-5632463157.9782715,0.00268621,ripple,-4.36333,77779.77715,209195103801.0,59005546715.0,2014-05-22T00:00:00.000Z,xrp,2686498998.0,99985991375.0,2025-06-27T06:26:00.790Z,100000000000.0,XRP,123454008908.0,2.2,1751005560
640.58,788.84,205,-2.1632976453192896,-18.19856,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,-0.33409,2024-12-04T10:35:25.220Z,645.36,5,-322956024.6318054,0.0398177,binancecoin,-0.34185,1620499.66046,94149818488.0,145887575.79,2017-10-19T00:00:00.000Z,bnb,618022488.0,145887575.79,2025-06-27T06:26:00.593Z,200000000.0,BNB,94149818488.0,648.51,1751005560
137.98,293.31,206,-3.9257057660391865,-51.97853,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,-2.71081,2025-01-19T11:15:27.957Z,140.89,6,-2087079764.6655426,0.500801,solana,-2.69826,28025.4735,85057050702.0,534328692.244277,2020-05-11T19:35:23.449Z,sol,4043273481.0,603869936.0691259,2025-06-27T06:26:00.516Z,,Solana,75261939622.0,145.75,1751005560
0.999801,1.17,207,-8.6017439823394e-05,-14.73989,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,-0.0086,2019-05-08T00:40:28.300Z,0.999804,7,-84206146.74721527,0.877647,usd-coin,-0.13632,13.92404,61688481165.0,61695412387.81067,2023-03-11T08:02:13.981Z,usdc,3232853201.0,61697695479.52495,2025-06-27T06:26:05.883Z,,USDC,61686198415.0,0.999911,1751005565
0.270707,0.431288,208,0.00024221,-37.14366,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.0894,2024-12-04T00:10:40.323Z,0.271167,8,30562574.0,0.00180434,tron,0.11904,14924.43223,25705040329.0,94805830187.65623,2017-11-12T00:00:00.000Z,trx,570449372.0,94805913086.35994,2025-06-27T06:26:00.496Z,,TRON,25705017852.0,0.272673,1751005560
0.158828,0.731578,209,-0.00373367955196563,-77.98042,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,-2.26439,2021-05-08T05:08:23.458Z,0.161153,9,-524946348.31934357,8.69e-05,dogecoin,-2.12789,185266.47167,24148340525.0,149833526383.7051,2015-05-06T00:00:00.000Z,doge,946952159.0,149855426383.7052,2025-06-27T06:26:00.849Z,,Dogecoin,24144811466.0,0.165485,1751005560
2401.03,4829.57,210,-35.56378627335425,-49.36508,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,-1.43387,2021-11-10T14:40:47.256Z,2444.71,10,-412788162.81253433,482.9,staked-ether,-1.81932,406.41297,22276333422.0,9119153.516838359,2020-12-22T04:08:21.854Z,steth,53706981.0,9119153.516838359,2025-06-27T06:26:05.490Z,,Lido Staked Ether,22276333422.0,2496.77,1751005565
